label,x_left,y_left,x_right,y_right
left,0.157408208,0.466583133,0.155384079,0.466911346
down,0.458701402,0.788547695,0.455583751,0.77945596
right,0.712404668,0.559457779,0.713106394,0.579862475
down,0.478754729,0.749715745,0.476895452,0.765553892
right,0.703977764,0.559941292,0.705677092,0.563538015
right,0.810061455,0.505140841,0.808372259,0.516794562
right,0.873855233,0.459013253,0.871756971,0.455028147
right,0.877437651,0.506287038,0.870776176,0.52312541
up,0.491983145,0.37597838,0.486229658,0.367072225
left,0.284928977,0.501692772,0.283126891,0.512426198
down,0.482710272,0.720815718,0.476425081,0.721093118
down,0.507232368,0.861268759,0.498790085,0.845271468
up,0.470403224,0.309706062,0.476711661,0.312711149
left,0.151684642,0.529232621,0.14802976,0.527926981
left,0.312565923,0.447416693,0.306278676,0.455528349
left,0.248832271,0.456259429,0.242287055,0.448555112
up,0.580049813,0.325876832,0.580160737,0.316895038
right,0.754321814,0.450995892,0.751415014,0.436539948
up,0.534062445,0.165914997,0.539339066,0.182461604
up,0.506890178,0.50772053,0.505472243,0.497384727
up,0.45556432,0.241747051,0.469223499,0.265355557
right,0.723113894,0.549338579,0.718871057,0.556662321
down,0.517157972,0.66186142,0.513655066,0.654206038
right,0.712085009,0.481424898,0.70828867,0.484301597
right,0.781550765,0.562092841,0.795990586,0.567885756
up,0.571649969,0.201248065,0.572163522,0.20756346
left,0.177484125,0.549430907,0.170369685,0.566344202
up,0.446882546,0.277558327,0.452418298,0.297740936
right,0.802586138,0.568939626,0.793188274,0.586741865
down,0.56174916,0.726463199,0.555323005,0.733979583
up,0.513201296,0.343924761,0.514641285,0.333662003
down,0.49363324,0.68860805,0.496868819,0.680724144
left,0.232716382,0.566100895,0.225005448,0.59289813
up,0.588165224,0.312048912,0.586240709,0.312168509
down,0.465446174,0.653497338,0.448850632,0.666662335
down,0.467445254,0.769433439,0.450647473,0.765695035
up,0.514448762,0.122090146,0.512317657,0.134472862
down,0.514175415,0.80686897,0.508349359,0.796750605
up,0.46926555,0.148112759,0.46258834,0.139867544
up,0.480125129,0.315017968,0.483367711,0.31737411
down,0.571195722,0.733177543,0.565150321,0.747040153
down,0.534841359,0.807860553,0.539562225,0.814036906
left,0.264849782,0.562585175,0.253238797,0.582086921
down,0.496726394,0.782149911,0.492281407,0.766655743
up,0.537372053,0.226998284,0.552141488,0.250426263
left,0.215344891,0.517199218,0.21158877,0.545901895
down,0.483390152,0.706742525,0.489290237,0.689846575
left,0.31381619,0.556398392,0.306974143,0.558342397
up,0.470482796,0.16607298,0.468310177,0.137941986
right,0.697354734,0.507888556,0.695278347,0.506238461
right,0.821921885,0.576211929,0.824018121,0.590992391
right,0.765664458,0.578536451,0.766355276,0.586948633
left,0.329879671,0.523763418,0.324427664,0.524039686
left,0.174191535,0.568845212,0.169192329,0.566258192
right,0.784272254,0.53351891,0.781396329,0.539962232
left,0.35938555,0.544487834,0.34777078,0.550657272
right,0.805666327,0.486589521,0.80755651,0.468913764
down,0.447077245,0.858652294,0.441353142,0.832596362
down,0.536336899,0.788127005,0.526953161,0.783130407
left,0.283449739,0.542865515,0.27585122,0.535759449
down,0.478358835,0.825291991,0.468705267,0.810894549
up,0.505802512,0.34486711,0.502819717,0.327221513
down,0.488309652,0.774327457,0.486796498,0.767468214
up,0.475803077,0.265070081,0.474515736,0.266100496
left,0.290489644,0.5388816,0.281878263,0.544615328
up,0.520131052,0.347327203,0.522961855,0.338596702
up,0.504875124,0.401163965,0.503208876,0.391711622
left,0.380218625,0.483647943,0.379238963,0.49808836
down,0.517384589,0.729184568,0.513357401,0.730781734
left,0.203107134,0.563896835,0.196904197,0.564295053
right,0.854389191,0.543546021,0.850292563,0.549196959
up,0.480485797,0.336338103,0.478372931,0.32527864
left,0.239662066,0.547000945,0.231064335,0.551142275
up,0.515126944,0.2354794,0.515080214,0.237273797
left,0.313219696,0.474661946,0.306147933,0.472911924
up,0.488029301,0.247650012,0.486680299,0.23699899
down,0.579620421,0.747253239,0.567681789,0.74819684
up,0.52590102,0.232408717,0.528153181,0.225450575
down,0.555298984,0.840119898,0.547998548,0.835154474
down,0.469604641,0.76194942,0.452402264,0.755029798
up,0.463555932,0.148298427,0.461485118,0.145695552
